price
25200
18600
26250
15800
16500
12500
19850
17800
22000
24050
29350
57400
19300
19700
19650
20800
21600
19300
20800
20000
18800
19350
12500
27400
16550
28450
13400
18400
25600
26650
51000
17800
27100
24200
29350
27200
47400
17800
22300
25600
21950
43000
11250
28350
29800
13750
23200
14100
10300
28100
25500
15200
18500
33800
20450
20050
25500
18100
17100
29300
